task;errors;der_level3;der_level4;der_level5;der_level6;group;mci;freq_finite_forms;freq_aux;num_inf;num_gerunds;num_pres_sing;num_pres_plur;num_past_part;num_past_simple
argumentative;10;0.055;0.154;0.154;0.022;1;4.5;0.423076923;1.192307692;15;2;8;0;5;3
argumentative;9;0.063;0.125;0.094;0.016;1;2.75;0.538461538;1.192307692;19;0;8;0;2;4
argumentative;9;0.081;0.047;0.047;0.128;1;3.5;0.428571429;0.642857143;12;1;13;0;3;3
argumentative;8;0.064;0.021;0.085;0.064;1;4;0.392857143;0.571428571;12;1;10;0;5;2
argumentative;7;0.018;0.055;0.073;0.018;1;4.25;0.266666667;0.666666667;16;4;8;0;5;3
argumentative;7;0.013;0.079;0.053;0.013;1;3.75;0.428571429;0.904761905;6;1;8;0;4;8
argumentative;7;0.037;0.061;0.061;0.024;1;1;0.586206897;0.793103448;14;0;6;0;1;7
argumentative;7;0.075;0.025;0.100;0.100;1;1.75;0.5;1.1875;11;0;6;0;2;4
argumentative;7;0.067;0.033;0.117;0.183;1;5.25;0.555555556;0.388888889;2;2;8;0;4;5
argumentative;7;0.014;0.097;0.000;0.014;1;3.25;0.333333333;0.666666667;22;3;5;0;3;7
argumentative;6;0.024;0.024;0.024;0.024;1;4;0.181818182;0.909090909;18;2;1;0;5;0
argumentative;6;0.069;0.034;0.069;0.138;1;3;0.288888889;0.355555556;20;8;8;0;2;4
argumentative;6;0.026;0.117;0.091;0.091;1;5.5;0.28125;0.5;16;7;9;0;2;5
argumentative;6;0.053;0.084;0.031;0.115;1;5;0.327868852;0.163934426;16;9;8;0;14;2
argumentative;6;0.000;0.167;0.042;0.000;1;1.75;0.375;0.75;1;0;5;0;4;0
argumentative;6;0.055;0.011;0.066;0.033;1;5.5;0.5;0.717391304;19;5;12;0;9;8
argumentative;6;0.043;0.085;0.094;0.009;1;3;0.314814815;0.611111111;21;4;11;0;14;9
argumentative;6;0.065;0.129;0.151;0.043;1;4.25;0.285714286;0.742857143;12;7;17;0;7;6
argumentative;5;0.037;0.074;0.056;0.074;1;3;0.297297297;0.72972973;27;0;1;1;7;1
argumentative;5;0.018;0.071;0.036;0.054;1;2.25;0.666666667;0.555555556;8;1;6;0;1;4
argumentative;5;0.013;0.038;0.000;0.013;1;4.5;0.678571429;0.535714286;6;1;8;0;4;3
argumentative;5;0.034;0.086;0.069;0.052;1;3.75;0.375;0.791666667;12;2;8;0;4;4
argumentative;5;0.070;0.151;0.035;0.035;1;1.75;0.404255319;0.617021277;34;0;11;0;0;7
argumentative;5;0.014;0.042;0.000;0.028;1;4;0.195121951;0.365853659;13;8;7;0;4;3
argumentative;5;0.024;0.082;0.035;0.024;1;2.75;0.379310345;0.517241379;12;3;7;0;4;4
argumentative;5;0.051;0.063;0.013;0.076;1;3.5;0.227272727;1.181818182;13;6;9;0;1;4
argumentative;5;0.000;0.087;0.101;0.043;1;4.25;0.28125;0.6875;18;3;8;0;5;5
argumentative;5;0.067;0.050;0.050;0.150;1;4.5;0.272727273;0.5;11;4;7;0;0;1
argumentative;5;0.049;0.110;0.073;0.085;1;4.5;0.411764706;0.558823529;14;4;11;0;2;2
argumentative;5;0.013;0.072;0.053;0.026;1;2.5;0.253968254;0.571428571;36;3;8;0;8;8
argumentative;5;0.057;0.094;0.019;0.057;1;4;0.260869565;0.782608696;11;1;4;0;5;7
argumentative;5;0.030;0.030;0.015;0.061;1;2.75;0.6;0.95;8;1;9;0;0;4
argumentative;5;0.025;0.123;0.123;0.049;1;5.25;0.297297297;0.837837838;19;6;8;0;7;8
argumentative;5;0.027;0.093;0.080;0.080;1;3.5;0.375;0.625;14;1;11;0;7;7
argumentative;5;0.056;0.097;0.139;0.028;1;3.5;0.296296296;0.444444444;14;4;8;0;2;4
argumentative;5;0.077;0.077;0.077;0.077;1;4.25;0.461538462;0.692307692;16;3;11;0;6;4
argumentative;5;0.067;0.022;0.067;0.111;1;5;0.5;1.076923077;8;4;17;0;6;2
argumentative;4;0.015;0.138;0.108;0.046;1;1.75;0.590909091;0.636363636;11;1;2;0;1;4
argumentative;4;0.018;0.175;0.158;0.000;1;2.25;0.666666667;0.925925926;10;0;11;0;0;10
argumentative;4;0.040;0.120;0.060;0.020;1;3;0.625;0.833333333;8;1;8;0;2;3
argumentative;4;0.067;0.077;0.135;0.077;1;4.25;0.303030303;0.787878788;16;6;16;0;3;4
argumentative;4;0.048;0.131;0.071;0.071;1;3;0.461538462;0.769230769;14;1;10;0;2;4
argumentative;4;0.119;0.060;0.071;0.036;1;3.5;0.21875;0.625;13;12;5;0;1;7
argumentative;4;0.055;0.096;0.041;0.055;1;4;0.323529412;0.794117647;20;6;9;0;3;9
argumentative;4;0.037;0.037;0.093;0.074;1;2.5;0.423076923;0.961538462;13;4;7;0;1;5
argumentative;4;0.075;0.019;0.019;0.019;1;3.5;0.514285714;0.457142857;14;2;8;0;1;2
argumentative;4;0.074;0.056;0.093;0.111;1;3.25;0.457142857;0.571428571;19;1;5;0;1;5
argumentative;4;0.042;0.111;0.083;0.083;1;2;0.333333333;0.777777778;17;0;17;0;3;5
argumentative;4;0.071;0.133;0.041;0.051;1;3;0.526315789;0.552631579;13;3;17;0;1;5
argumentative;4;0.087;0.022;0.087;0.065;1;2.25;0.263157895;0.526315789;10;3;5;0;1;2
argumentative;4;0.012;0.099;0.025;0.086;1;3.25;0.294117647;0.588235294;18;0;9;0;9;5
argumentative;4;0.010;0.167;0.157;0.039;1;3;0.47826087;0.565217391;17;4;3;0;9;3
argumentative;4;0.035;0.128;0.081;0.023;1;5.75;0.333333333;0.472222222;14;3;10;0;9;4
argumentative;4;0.000;0.171;0.110;0.061;1;4;0.361111111;0.611111111;15;8;10;0;3;2
argumentative;4;0.038;0.038;0.013;0.077;1;3.75;0.243243243;0.675675676;21;5;10;0;8;3
argumentative;4;0.060;0.075;0.075;0.045;1;5.75;0.263157895;0.842105263;16;11;11;0;6;6
argumentative;4;0.055;0.082;0.027;0.041;1;4;0.30952381;0.404761905;20;5;12;0;6;4
argumentative;4;0.022;0.098;0.043;0.011;1;4;0.393939394;0.575757576;17;1;11;0;4;8
argumentative;4;0.030;0.090;0.119;0.075;1;3.25;0.456521739;0.413043478;18;7;6;0;2;8
argumentative;4;0.045;0.121;0.068;0.030;1;7;0.315789474;0.789473684;17;3;13;0;10;5
argumentative;4;0.021;0.106;0.000;0.000;1;3.75;0.35;0.45;3;2;5;0;8;1
argumentative;4;0.000;0.182;0.061;0.000;1;3.5;0.5;0.7;2;0;4;0;3;6
argumentative;4;0.051;0.114;0.101;0.025;1;3.5;0.5;0.583333333;13;3;8;0;5;2
argumentative;4;0.000;0.086;0.000;0.000;1;2.5;0.444444444;0.777777778;0;0;5;0;10;15
argumentative;4;0.016;0.109;0.047;0.031;1;3.5;0.518518519;0.37037037;2;1;3;0;11;13
argumentative;4;0.063;0.083;0.083;0.000;1;4.25;0.178571429;0.464285714;9;2;4;0;13;2
argumentative;4;0.034;0.069;0.046;0.069;1;4;0.428571429;0.457142857;12;5;8;0;7;7
argumentative;4;0.069;0.034;0.046;0.080;1;4.5;0.212121212;0.727272727;20;2;7;0;5;4
argumentative;4;0.094;0.082;0.071;0.082;1;4.5;0.346153846;0.615384615;10;8;7;1;1;0
argumentative;4;0.044;0.033;0.122;0.022;1;3.75;0.230769231;0.564102564;21;6;8;0;3;4
argumentative;4;0.041;0.096;0.096;0.027;1;4.25;0.25;0.964285714;15;4;8;0;6;7
argumentative;4;0.009;0.073;0.092;0.009;1;5.75;0.29787234;0.595744681;28;5;18;0;4;7
argumentative;4;0.045;0.067;0.056;0.056;1;4.25;0.322580645;0.935483871;16;10;13;0;2;7
argumentative;3;0.065;0.104;0.091;0.052;1;6;0.419354839;0.677419355;9;6;15;0;6;3
argumentative;3;0.040;0.060;0.080;0.030;1;5.5;0.4;0.6;16;3;17;0;9;8
argumentative;3;0.118;0.106;0.129;0.094;1;4.25;0.3125;0.65625;18;3;9;0;2;2
argumentative;3;0.063;0.063;0.075;0.125;1;3;0.214285714;1.035714286;19;2;11;0;7;9
argumentative;3;0.029;0.088;0.088;0.029;1;3.5;0.384615385;0.961538462;13;1;7;0;4;5
argumentative;3;0.015;0.030;0.076;0.030;1;3.5;0.52;0.64;11;0;9;0;4;4
argumentative;3;0.042;0.167;0.083;0.058;1;3.75;0.276595745;0.744680851;17;6;14;0;15;5
argumentative;3;0.045;0.056;0.011;0.079;1;4;0.342857143;0.6;20;2;8;0;6;4
argumentative;3;0.000;0.073;0.073;0.049;1;2.5;0.625;0.8125;8;0;3;0;0;2
argumentative;3;0.048;0.111;0.175;0.048;1;3.5;0.444444444;0.555555556;12;2;5;0;4;5
argumentative;3;0.000;0.000;0.048;0.000;1;2.75;0.52;0.52;15;1;6;0;0;3
