name	task	errors	der_level3	der_level4	der_level5	der_level6	group	mci	freq_finite_forms	freq_aux	num_inf	num_gerunds	num_pres_sing	num_pres_plur	num_past_part	num_past_simple	Symbols	Tokens	Length
2017_VSa_73_2,txt	argumentative	10	0.055	0.154	0.154	0.022	1	4.5	0.423076923	1.192307692	15	2	8	0	5	3	1847	319	300+
2014_AMe_19_2,txt	argumentative	9	0.063	0.125	0.094	0.016	1	2.75	0.538461538	1.192307692	19	0	8	0	2	4	1300	232	200+
2016_OR_10_2,txt	argumentative	9	0.081	0.047	0.047	0.128	1	3.5	0.428571429	0.642857143	12	1	13	0	3	3	1763	291	250+
2016_OR_26_2,txt	argumentative	8	0.064	0.021	0.085	0.064	1	4	0.392857143	0.571428571	12	1	10	0	5	2	1108	186	150+
2014_ADe_21_2,txt	argumentative	7	0.018	0.055	0.073	0.018	1	4.25	0.266666667	0.666666667	16	4	8	0	5	3	1480	247	200+
2014_AMe_13_2,txt	argumentative	7	0.013	0.079	0.053	0.013	1	3.75	0.428571429	0.904761905	6	1	8	0	4	8	1566	256	250+
2014_AMe_26_2,txt	argumentative	7	0.037	0.061	0.061	0.024	1	1	0.586206897	0.793103448	14	0	6	0	1	7	1441	257	250+
2016_NMa_25_2,txt	argumentative	7	0.075	0.025	0.100	0.100	1	1.75	0.5	1.1875	11	0	6	0	2	4	1144	207	200+
2019_EEr_303_2,txt	argumentative	7	0.014	0.097	0.000	0.014	1	3.25	0.333333333	0.666666667	22	3	5	0	3	7	1446	259	250+
2016_EKu_62_2,txt	argumentative	6	0.024	0.024	0.024	0.024	1	4	0.181818182	0.909090909	18	2	1	0	5	0	937	169	150+
2016_OR_14_2,txt	argumentative	6	0.069	0.034	0.069	0.138	1	3	0.288888889	0.355555556	20	8	8	0	2	4	1865	324	300+
2016_OR_57_2,txt	argumentative	6	0.026	0.117	0.091	0.091	1	5.5	0.28125	0.5	16	7	9	0	2	5	1574	250	250+
