Lemma	Ахматова	Бальмонт	Блок	Брюсов	Гумилев	Есенин	Мандельштам	Маяковский	Пастернак	Северянин	Цветаева
БАГРЯНЫЙ	0	10	7	26	10	6	2	1	1	0	3
БЕЛОСНЕЖНЫЙ	4	5	10	3	5	4	0	0	0	2	3
БИРЮЗОВЫЙ	0	2	0	1	2	0	4	0	0	9	3
ЗЛАТОЙ	0	9	8	10	3	25	2	0	3	2	13
ИЗУМРУДНЫЙ	4	16	2	13	7	1	1	0	0	3	4
ЛАЗОРЕВЫЙ	0	2	2	4	2	2	1	0	0	10	6
ЛАЗУРНЫЙ	3	17	34	15	6	0	3	0	1	10	10
ЛИЛОВЫЙ	3	2	6	6	4	2	7	3	17	14	2
ПУРПУРНЫЙ	1	3	1	16	7	0	4	1	0	1	2
САМОЦВЕТНЫЙ	0	4	1	4	0	0	1	0	0	0	2
СУМРАЧНЫЙ	0	15	22	81	20	1	7	0	0	6	6
ФИОЛЕТОВЫЙ	0	0	1	2	0	0	1	2	1	5	1
