Lemma	Ахма	Баль	Блок	Брюс	Гуми	Есен	Манд	Маяк	Паст	Цвет
АЛЫЙ	12	55	39	85	25	17	1	14	1	36
БАГРОВЫЙ	2	1	4	8	6	3	1	6	6	5
БАГРЯНЫЙ	0	10	7	26	10	6	2	1	1	3
БЕЛОСНЕЖНЫЙ	4	5	10	3	5	4	0	0	0	3
БЕЛЫЙ	114	144	211	252	129	109	54	120	79	260
БЛЕДНЫЙ	25	108	96	99	53	4	8	3	9	31
ГОЛУБОЙ	30	88	87	55	42	66	27	14	8	42
ЖЕЛТЫЙ	33	34	40	26	14	42	18	24	12	17
ЗЕЛЕНЫЙ	33	71	69	78	59	44	55	16	8	79
ЗЛАТОЙ	0	9	8	10	3	25	2	0	3	13
ЗОЛОТИСТЫЙ	5	17	16	4	8	9	4	2	0	7
ИЗУМРУДНЫЙ	4	16	2	13	7	1	1	0	0	4
КРАСНЫЙ	29	83	117	89	80	57	51	161	13	244
ЛАЗУРНЫЙ	3	17	34	15	6	0	3	0	1	10
ЛИЛОВЫЙ	3	2	6	6	4	2	7	3	17	2
МУТНЫЙ	5	3	12	14	5	5	2	5	6	4
ПЕСТРЫЙ	9	6	18	42	13	2	8	4	0	13
ПУРПУРНЫЙ	1	3	1	16	7	0	4	1	0	2
РОЗОВЫЙ	8	11	40	4	35	18	21	12	2	69
РУМЯНЫЙ	4	5	8	6	4	0	11	1	2	29
РЫЖИЙ	8	5	7	9	16	15	15	17	3	17
СВЕТЛЫЙ	45	166	151	119	62	22	29	9	12	68
СЕРЕБРИСТЫЙ	2	9	7	12	4	4	4	1	3	7
СЕРЫЙ	23	24	50	67	11	16	13	23	18	46
СИЗЫЙ	5	0	4	9	3	2	1	1	6	14
СИНИЙ	35	55	109	90	35	102	21	19	24	103
СУМРАЧНЫЙ	0	15	22	81	20	1	7	0	0	6
ТЕМНЫЙ	48	107	191	157	62	25	56	8	19	120
ЦВЕТНОЙ	1	13	8	10	3	1	6	4	3	9
ЧЕРНЫЙ	121	74	176	212	82	74	96	84	87	224
