Lemma	АХМА	БЛОК	ГУМИ	ЕСЕН	МАНД	МАЯК	ПАСТ	ЦВЕТ
бог	33	105	111	41	82	98	32	302
ветер	96	191	66	109	52	86	104	194
вода	73	74	87	61	102	124	73	163
глаз	130	208	131	116	80	302	114	423
год	112	157	52	108	51	265	113	182
голос	127	157	60	43	47	84	39	144
день	140	433	137	108	105	333	289	348
дом	114	98	71	53	52	153	89	268
друг	114	170	87	82	73	69	58	228
душа	64	454	131	157	76	130	85	353
жизнь	82	279	88	112	93	148	123	189
звезда	56	180	83	80	72	100	75	127
земля	93	230	107	127	149	222	134	248
кровь	41	94	84	37	102	104	46	227
лицо	46	161	52	44	53	117	67	126
любовь	78	217	85	60	32	88	40	228
мир	73	158	129	64	92	196	62	227
море	51	117	120	27	47	95	75	183
небо	93	216	141	103	99	217	149	223
ночь	124	481	138	102	113	148	259	399
огонь	54	216	83	33	56	69	70	106
рука	143	276	140	131	140	246	111	682
свет	83	216	72	90	49	71	92	205
сердце	108	380	144	148	92	167	78	341
слово	100	145	98	72	66	211	73	193
солнце	49	107	112	65	72	145	87	135
сон	74	348	123	42	55	40	98	265
тень	90	189	75	32	40	32	77	130
час	72	161	73	41	34	90	65	275
человек	74	136	106	73	127	262	72	161
