PoS	Ахматова	Блок	Гумилев	Есенин	Мандельштам	Маяковский	Пастернак	Цветаева
A	6253	14227	8092	5720	7152	10871	5688	16448
ADV	4039	6862	3971	3402	3018	7489	4336	9805
ANUM	139	90	64	78	57	308	145	393
APRO	2524	4364	2517	2270	1906	4076	2542	7678
CONJ	5233	8660	6270	4068	4661	9939	7272	11336
INTJ	93	173	92	185	84	308	78	603
NUM	235	168	189	201	353	1066	312	941
PART	2658	3897	2483	3006	2019	6032	2528	8968
PR	5113	11026	6401	6083	5767	14443	9374	17983
PUNCT	14495	32399	17562	15441	16669	45111	21233	71005
S	13992	32933	19881	17438	19764	45319	27495	56102
SPRO	4975	8264	5142	4801	3754	6718	4284	9948
V	9064	20172	11181	10024	10084	24621	12874	25512
