Adj	Fabs	Trend	CorpusSize
холодный	424	Старшие символисты	709511
горячий	158	Старшие символисты	709511
теплый	126	Старшие символисты	709511
знойный	102	Старшие символисты	709511
жаркий	84	Старшие символисты	709511
прохладный	49	Старшие символисты	709511
морозный	34	Старшие символисты	709511
студеный	22	Старшие символисты	709511
хладный	8	Старшие символисты	709511
стылый	3	Старшие символисты	709511
окоченелый	2	Старшие символисты	709511
тепловатый	2	Старшие символисты	709511
тепленький	1	Старшие символисты	709511
холодный	189	Младшие символисты	372084
хладный	49	Младшие символисты	372084
жаркий	48	Младшие символисты	372084
знойный	38	Младшие символисты	372084
морозный	28	Младшие символисты	372084
горячий	27	Младшие символисты	372084
прохладный	22	Младшие символисты	372084
теплый	20	Младшие символисты	372084
студеный	11	Младшие символисты	372084
окоченелый	1	Младшие символисты	372084
