Title,Abstract
"#20-01 Кюхельбекер, Лес, начало 1820-х","в сырой бор || ветер завывать ; || на борзый конь || молодец нестись . || позади сидеть || красный девица ; || вороной скакун || мчать они в лес дремучий . || « гой быть ты , конь , || гой быть , ретивый ! || в лес не мчать я , || не нести в дремучий ! || в тот темный лес , || в черный тот дубрава , || нет волк , ни лиса , || ходить , бродить леший ! || в тот темный лес , || в черный тот дубрава , || не услышать птица , || а петь русалка ! » || гаснуть среди туча , || гаснуть светлый месяц ; || конь нести они в глушь , || в лес и в глушь немой . || молодец глядеть , || видеть клен да ветла ; || бодрый слух вострить , || слышать ― выть ветер . || весь как лист дрожать || позади девица : || « вон , он там стоять ! || чу , хохотать , свистать ! » || заняться заря , || буйный ветер стихнуть : || молодец рыдать || над бездушный тело ! ||"
"#20-02 Козлов, Пленный грек в темнице, 1822","родина святой , || край прелестный мой ! || все ты мечтать , || рваться к ты душа . || но , увы , в неволя || держать здесь я , || и на ратный поле || не сражаться я ! || день и ночь терзаться || я судьба твой , || в сердце отдаваться || звук твой цепь . || можно ль однородный || брат позабыть ? || ах , иль быть свободный , || иль совсем не быть ! || и с друг смело || гибельный гроза || за святой дело || мы помчаться в бой . || но , увы , в неволя || держать здесь я , || и на ратный поле || не сражаться я ! || и в плен не знать , || как война гореть ; || весть ожидать ― || мимо весть лететь . || слух убийство нестись , || страшный месть след ; || кровь родной литься , || а я там нет ! || ах , среди буря зреть || плод , свобода , твой ! || день твой ясный рдеть || пламенный заря ! || узник неизвестный , || пусть страдать я , ― || лишь бы , край прелестный , || вольный знать ты ! ||"
"#20-03 Кюхельбекер, Вдаль плыву по Пейпусу, 1822-1823","вдаль плыть по Пейпус , || горестный изгнанник . || воспеть отечество ― || слушать , слушать , странник ! || наш нива тучный || конь немец топтать , || под бич мучитель || старец тщетно роптать ; || дева обесславить , || юноша в неволя , || кость наш витязь || тлеть в чистый поле ! || вдаль плыть по Пейпус , || горестный изгнанник . || воспеть отечество ― || слушать , слушать , странник ! ||"
"#20-04 Рылеев, Царь наш — немец русский, 1825","царь наш ― немец русский ― || носить мундир узкий . || ай да царь , ай да царь , || православный государь ! || царствовать он где же ? || всякий день в манеж . || прижимать локоть , || прибирать в коготь . || царство управлять , || носок выправлять . || враг хоть просвещенье , || любить он ученье . || школа весь ― казарма , || судья весь ― жандарм . || а граф аракчеев || злодей из злодей ! || князь Волконский ― баба || начальник штаб ! || а другой баба || губернатор в Або . || а потапов дурный || генерал дежурный . || трусить он закон , || трусить он масон . || только за парад || раздавать награда . || а за комплимент ― || голубой лента . || а за правда - матка || прямо слать в камчатка . ||"
"#20-05 Пушкин, Песня девушек, 1824","девица , красавица , || душенька , подруженька , || разыграться , девица , || разгуляться , милый ! || затянуть песенка , || песенка заветный , || заманить молодец || к хоровод наш . || как заманить молодец , || как завидеть издали , || разбежаться , милый , || закидать вишенье , || вишенье , малина , || красный смородина . || не ходить подслушивать || песенка заветный , || не ходить подсматривать || игра наш девичий . ||"
"#20-06 Дельвиг, Федорова Борьки, 1824","Федоров Борька || мадригал горький , || комедия тупой , || трагедия глупый , || эпиграмма сладкий || и , как он , все гадкий . ||"
"#20-07 Мансуров, Песнь страдальца, 1824","рано ты , светило , || утро озлатить || ясный небосклон . || снять ночной тень , || из смиренный сень || рано гнать сон ! || пустой свод небо чистый , || пустой и луг росистый || с влажный тропа ; || тихий и бор дремучий , || пар один летучий || бродить над река . || как под кровля хилый || здесь младенец милый || беззаботно спать , || окружить мечта , || и сквозь сон уста || призрак манить . || быть , мой друг , спокойный , || быть сей мир устроить || к радость твой ! || я же велеть страданье || упреждать сиянье || утренний луч ! || пробудиться с я , || резвый толпа || насекомое рой || на заря кружиться , || жаждать насладиться || краткий весна . || их живой младость , || их любовь , их радость || все — не долго день ! || но как знать , быть мочь , || они судьба положить || пережить я ! ||"
"#20-08 Соколовский, Русский император, 1825","русский император || бог дух вручить , || он оператор || брюхо начинить . || плакать государство , || плакать весь народ ― || ехать к мы на царство || Костюшка - урод . || но царь вселенная , || бог вышний сила , || царь благословенный || грамотка вручить . || манифест читать , || сжалиться творец ― || дать мы николай , || сукин сын , подлец . ||"
"#20-09 Пушкин, Брови царь нахмуря, 1825","бровь царь нахмурить , || говорить : « вчера || повалить буря || памятник петр » . || тот перепугаться . || « я не знать !.. ужель ? » ― || царь расхохотаться . || « первый , брат , апрель ! » || говорить он с горе || фрейлина дворец : || « вешать за море || за два яицо ! .. || то быть разуметь , ― || вдруг примолвить он , ― || вешать за шея , || но жестокий закон » . ||"
"#20-10 Пушкин, Под каким созвездием, 1825","под какой созвездие , || под какой планета || ты родиться , юноша ? || ближний меркурий , || аль Сатурн дальний , || марсов , кипридин ? || уродиться юноша || под звезда безвестный , || под звезда падучий , || миг один блеснуть || в тишина небо . ||"
